skolkod,andel_minst_e_gyarb
84329061,"98,0"
71969230,"100,0"
91048178,"96,5"
82718660,"100,0"
76942525,"92,3"
12399380,"100,0"
31486865,"99,4"
97265732,"99,6"
10373112,..
61720981,"99,3"
25698509,"100,0"
50424828,"92,2"
82931004,"92,9"
83584125,"100,0"
95024660,"98,6"
32263814,"100,0"
16496466,..
12075195,"100,0"
62300682,"100,0"
47393891,"92,0"
48414975,"100,0"
65265211,"100,0"
11533776,"96,0"
47108751,..
97191332,"96,6"
71938440,"100,0"
28829503,"100,0"
22811839,"100,0"
33205596,"100,0"
99622695,..
19930101,"94,7"
60727136,"100,0"
45132264,"100,0"
61647360,..
98651664,"98,7"
33657492,"92,8"
61622991,"97,2"
66644568,"94,4"
93659517,"100,0"
79309485,"100,0"
61175914,"100,0"
73316818,"100,0"
37078868,..
27859889,"100,0"
16130958,"100,0"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"100,0"
51131594,"95,2"
89680395,"100,0"
53696633,"100,0"
27440210,"100,0"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"97,2"
17812651,"100,0"
23544320,"100,0"
57668673,"95,5"
69040241,"94,7"
63993414,"100,0"
49136871,..
91905819,"100,0"
20855811,"91,9"
54882637,"93,8"
53923398,"95,9"
74560191,"100,0"
47844862,"98,4"
22239675,"81,0"
72984079,"87,4"
36480690,"94,7"
24787883,"85,7"
32995170,"94,4"
52048443,"100,0"
61674097,"97,8"
32550660,"99,2"
93488613,"88,2"
45600034,"100,0"
59599256,"98,7"
69865450,"98,0"
31112935,"100,0"
26957025,"99,1"
90509211,"98,0"
43277545,"94,6"
37316242,"98,9"
20173336,"97,0"
49872493,"96,6"
39147056,"96,2"
11953769,"83,3"
28646435,"96,0"
50393060,"97,6"
85788659,"84,4"
95340745,"97,0"
59521477,"98,6"
92442684,"93,3"
66095163,"84,3"
38544187,"100,0"
54599691,"98,0"
54004368,"98,7"
54467211,"100,0"
23517683,"94,7"
31975673,"99,1"
82251333,"100,0"
99864908,"98,1"
27106031,"98,6"
59463950,"100,0"
63931325,"100,0"
57391913,"98,7"
75374280,"100,0"
46148350,"97,0"
50133877,"98,2"
49868916,"99,3"
74919147,"98,4"
90240730,"98,7"
84908877,"96,8"
78389879,"96,0"
24277564,"88,6"
88956420,..
44412461,"99,3"
34002355,"84,6"
36355200,"96,5"
96920524,"100,0"
18217765,"97,9"
60919765,..
14677676,"100,0"
96152872,"93,5"
77835341,"91,7"
70803636,"99,2"
49576295,"100,0"
66028861,"100,0"
23797825,"98,6"
45293715,"98,5"
44738639,"100,0"
77712952,"91,9"
92009807,"93,6"
10433896,"95,7"
10342448,"80,4"
43154449,"100,0"
49170638,"95,3"
46379730,"97,4"
25379974,"95,5"
98032567,..
96194948,"92,6"
25955541,"100,0"
88025221,"98,9"
18042101,"98,8"
14799321,"100,0"
56041699,"100,0"
45111086,"100,0"
70955448,"99,4"
68824244,"98,1"
90685868,"100,0"
24501884,"100,0"
46707989,"95,5"
46986216,"95,5"
67924816,"99,1"
92805465,"97,7"
56084099,"97,4"
80711021,"97,8"
17648596,"98,2"
16720048,"100,0"
13960635,"98,7"
39341381,"83,3"
61176909,"100,0"
43479922,"95,5"
60088179,"95,1"
28391147,"91,9"
29209307,"100,0"
21778322,"97,5"
31380193,"77,3"
90290154,"96,7"
25847233,"100,0"
62612992,"91,6"
85485803,"94,4"
92816527,"98,8"
16848652,"100,0"
88429477,"95,8"
94975733,"100,0"
56802300,"100,0"
15149235,"98,7"
77379848,"100,0"
13981977,"100,0"
24538846,"100,0"
36886750,"94,4"
67422309,"100,0"
67058407,"84,3"
34421265,"98,4"
15791044,"100,0"
65392939,"98,2"
98696836,"100,0"
82160887,"94,4"
23175129,"88,9"
64908550,"100,0"
77358716,"100,0"
49739986,"90,4"
29225010,"96,1"
92192566,"94,5"
56886667,"99,4"
33249781,"96,2"
64648566,"94,7"
18691102,"76,9"
70302356,"100,0"
65421426,"96,2"
62394916,"100,0"
67908927,"95,8"
72071234,"100,0"
24349146,"96,7"
83605345,"95,2"
15933512,"97,9"
12198363,..
47692481,"95,7"
64693272,"92,6"
18072172,"100,0"
65833454,"96,2"
85188855,"95,7"
11341077,"100,0"
39528347,"97,2"
34988313,"97,8"
85473846,"100,0"
29744774,..
89690587,"93,6"
28045567,"98,7"
20768651,"100,0"
32239920,"95,4"
98781765,"97,1"
38880984,"97,6"
28872974,"94,6"
87112995,"100,0"
18686599,"100,0"
93779220,"98,5"
77797484,"98,5"
53279140,"97,9"
80785976,"96,4"
47559319,"94,1"
21532545,"100,0"
56187883,"97,1"
20752831,"90,2"
51023367,"100,0"
34739511,"100,0"
95069937,"100,0"
52690153,"100,0"
74776778,"98,2"
18345915,"100,0"
68229719,"100,0"
61004230,"98,0"
71262305,"98,5"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"97,4"
82840198,"100,0"
18208087,"90,0"
89982804,..
19464342,"100,0"
60743463,"100,0"
32960825,"98,4"
43609520,"100,0"
97968599,"96,1"
91748148,"98,9"
42218661,"93,9"
74434644,"93,0"
42022406,"92,9"
65192707,"97,8"
43634528,"100,0"
36263479,"98,7"
56679384,"100,0"
30538202,"89,3"
19150273,"90,9"
69018222,"92,1"
12889940,"98,1"
16554575,.
34076477,"98,0"
54896448,"100,0"
64284020,..
53400472,"95,0"
97758137,"91,7"
26334561,"97,2"
40386043,"98,5"
59483268,"92,3"
33685428,"100,0"
32879845,"100,0"
88573795,..
20699742,"99,3"
21663998,"99,1"
20595770,"97,1"
82814120,"100,0"
45164827,"97,8"
10924758,"97,3"
34153869,"100,0"
88259298,"90,0"
17846181,"91,2"
75082798,"99,4"
23555409,"97,5"
30341162,"100,0"
72266906,"96,2"
27030026,"93,8"
16950252,"100,0"
34637764,"95,9"
19912478,"99,1"
15077883,"100,0"
48434184,"96,7"
58724424,"92,9"
95684185,"100,0"
51138448,"92,5"
56421429,"100,0"
39911065,"98,2"
17008320,"100,0"
56737496,"94,7"
93939982,"100,0"
25720752,"97,6"
55155562,"94,3"
31533003,"100,0"
16361868,.
23164911,"99,2"
24008049,"100,0"
19981611,"100,0"
54481243,"100,0"
36680097,"100,0"
19586169,"91,7"
24273261,"100,0"
95683850,"100,0"
59455288,"85,7"
25679488,"98,5"
25677996,"91,2"
89888648,"97,9"
35063170,"96,1"
31279294,"100,0"
36782335,"99,1"
23897040,..
20666515,"100,0"
37906565,..
67279303,..
21648755,"96,6"
11111710,"73,3"
90551279,"95,1"
69686851,..
49616977,"94,3"
54965510,"97,2"
84835666,"96,4"
25872338,..
54164490,"96,0"
20319353,"80,9"
92194545,"100,0"
64740897,..
78979604,..
10974852,..
85068812,"88,0"
78397312,"99,0"
36444853,"90,2"
16819383,"91,7"
89837629,"89,3"
12994441,"98,1"
88774402,"99,4"
75141151,"74,4"
61701709,"99,3"
61469192,"98,4"
84306392,"99,4"
28627819,"94,2"
30086854,.
26627862,"97,9"
48847282,"91,1"
72517762,..
79094701,"100,0"
38684438,"91,2"
31251822,"96,2"
90099336,..
35647481,"98,6"
39549479,"89,3"
73147554,"100,0"
69983740,"100,0"
66491596,"100,0"
12052268,"92,7"
71597051,"100,0"
53231578,"98,9"
96279444,"94,5"
40690520,"100,0"
91011325,"93,3"
97382366,"94,9"
35006050,"93,9"
10638939,"42,4"
21505555,"100,0"
34336190,"100,0"
21052710,"100,0"
69739484,"97,2"
92887917,"98,7"
88834120,"96,0"
70066748,"96,2"
19207279,"100,0"
53640774,"97,5"
58502307,"100,0"
97177328,"93,8"
72127035,"100,0"
70969714,"96,6"
68734112,"97,5"
71922787,"92,9"
74148070,"100,0"
92507006,"99,0"
44653962,"100,0"
20100577,"95,7"
81993306,"92,1"
19051089,"100,0"
47264019,"100,0"
50198492,"96,5"
98052678,"100,0"
20099064,"98,8"
16313848,"91,4"
79606767,"79,1"
11294673,"100,0"
86327236,"100,0"
41745951,"100,0"
83137205,"90,7"
28398531,"90,9"
66335258,"100,0"
54172830,"95,4"
75458014,"94,1"
65136104,..
61826221,.
79033948,"97,2"
56330385,"97,7"
20228162,"100,0"
68240485,"100,0"
95046058,"100,0"
44392995,"100,0"
53462953,"94,4"
60730660,"100,0"
82592568,"93,3"
78875918,"96,7"
86385479,"100,0"
49862313,"97,1"
99838438,"88,5"
42859669,"91,2"
99592025,"100,0"
34247736,"100,0"
47550455,"100,0"
30329172,"100,0"
76877530,"93,8"
47046103,"94,4"
38167912,"100,0"
43826783,..
58125096,"96,0"
82914148,"90,9"
20620556,"100,0"
77839100,..
17173461,"94,4"
55535552,..
30468157,"95,9"
92533079,"98,0"
61528940,"98,3"
23681822,"97,8"
66861851,"98,4"
72206824,"100,0"
92858957,"97,8"
86296935,..
44113417,"99,0"
67783774,..
39555838,"90,0"
85214294,"77,8"
82084961,"87,9"
46162400,"100,0"
67279263,"100,0"
51210136,"100,0"
73829818,"99,1"
54395430,.
18881773,..
50908408,"100,0"
18594470,"92,6"
78295411,"91,0"
80686587,"93,1"
72232853,"97,5"
12279302,"92,3"
64205087,"97,1"
50500028,"92,9"
91984508,"97,1"
40667807,"100,0"
18091973,"100,0"
88466776,"100,0"
36539945,..
40634612,"95,1"
66132676,"98,4"
57942242,"100,0"
77688926,"100,0"
14508922,"98,9"
37358234,"92,3"
21008461,"98,3"
54606928,"98,8"
53893730,"94,5"
42573391,..
64574972,"97,7"
19741742,"100,0"
29032715,"93,1"
45830583,"100,0"
48931433,"98,8"
19909435,"100,0"
30530571,"96,4"
78839208,"100,0"
96024712,"99,1"
30458073,..
85800840,"96,4"
68920727,"100,0"
27115998,"95,2"
41867682,"87,5"
79516949,"97,2"
96684210,"98,3"
87207941,"95,2"
11673760,"99,1"
46574937,"98,3"
23836342,"92,4"
63791419,"100,0"
39805497,"100,0"
38400227,"95,3"
81619482,"100,0"
12395564,"100,0"
90006712,"100,0"
39149668,"100,0"
38233622,"100,0"
48722826,"93,1"
73063662,"100,0"
40766349,"100,0"
53691739,"100,0"
43251309,"100,0"
67554405,"100,0"
73944169,"98,0"
98239050,"100,0"
94455820,..
61547652,..
62104139,"90,4"
87034307,"97,5"
78872213,"100,0"
76860623,"100,0"
58191646,"98,9"
80405898,"98,4"
56021320,"100,0"
63179610,"82,6"
64569393,"96,2"
