program,skolkod,andel_med_examen
nationella program,54764253,"100,0"
nationella program,98908403,"78,2"
nationella program,16493131,"94,4"
nationella program,41119610,"100,0"
nationella program,83272868,"96,3"
nationella program,11526364,"96,2"
nationella program,48304166,"100,0"
nationella program,24982097,"66,7"
nationella program,45552626,"82,5"
nationella program,50906954,.
nationella program,97104132,"100,0"
nationella program,16748680,"87,9"
nationella program,68597767,..
nationella program,27964873,"80,6"
nationella program,30706655,"80,0"
nationella program,65674821,"87,1"
nationella program,92332557,"88,0"
nationella program,46332927,"94,6"
nationella program,78690637,"87,4"
nationella program,24653673,"95,2"
nationella program,38048202,"92,2"
nationella program,90990441,"75,0"
nationella program,86319615,"75,0"
nationella program,87303004,"94,6"
nationella program,97835550,"77,3"
nationella program,22446331,"83,8"
nationella program,26671095,"100,0"
nationella program,42911621,"94,8"
nationella program,40575001,"84,2"
nationella program,75027822,"100,0"
nationella program,26508763,"97,4"
nationella program,14504503,"88,5"
nationella program,21850904,"100,0"
nationella program,65320354,"100,0"
nationella program,77544055,"92,2"
nationella program,49112879,"88,0"
nationella program,30279258,"94,4"
nationella program,16198647,"98,6"
nationella program,12496135,"100,0"
nationella program,76903284,"86,4"
nationella program,68649663,"81,1"
nationella program,43623146,..
nationella program,49141105,"71,2"
nationella program,15870428,"84,7"
nationella program,26646080,"91,2"
nationella program,26750052,"96,8"
nationella program,18974693,"92,5"
nationella program,26996566,..
nationella program,27704246,"90,9"
nationella program,81997762,"91,8"
nationella program,28967085,..
nationella program,69747871,..
nationella program,70119254,"100,0"
nationella program,31151740,"81,0"
nationella program,79346084,"87,2"
nationella program,34222422,"86,7"
nationella program,84230226,..
nationella program,42060237,"86,4"
nationella program,89816391,"93,5"
nationella program,14448619,"89,5"
nationella program,12546590,"82,8"
nationella program,43565270,"80,2"
nationella program,77176811,"93,5"
nationella program,52791537,"97,6"
nationella program,85152591,"100,0"
nationella program,85819857,"100,0"
nationella program,40600798,"96,2"
nationella program,52942981,"91,8"
nationella program,54117171,"95,2"
nationella program,48120273,"97,3"
nationella program,33233228,..
nationella program,94167577,"67,1"
nationella program,27023528,"76,6"
nationella program,53903798,"68,4"
nationella program,85782695,"84,6"
nationella program,98815582,"77,3"
nationella program,97770837,"83,8"
nationella program,21312503,"100,0"
nationella program,69650864,"100,0"
nationella program,59581397,"95,8"
nationella program,14926020,"73,7"
nationella program,41938272,"96,2"
nationella program,29423248,"97,0"
nationella program,76054399,"93,9"
nationella program,33132452,"76,2"
nationella program,56942970,..
nationella program,60142020,..
nationella program,70811222,"100,0"
nationella program,17911161,"59,0"
nationella program,35084976,"88,0"
nationella program,25525759,.
nationella program,77632411,"95,9"
nationella program,56653353,"97,9"
nationella program,49068301,"76,8"
nationella program,59898194,"86,3"
nationella program,38195284,"89,9"
nationella program,97510495,"91,3"
nationella program,89461767,"86,7"
nationella program,94717858,"90,8"
nationella program,53760158,"100,0"
nationella program,78422467,"94,6"
nationella program,37802196,..
nationella program,38683336,"100,0"
nationella program,36288955,"98,4"
nationella program,74812809,"97,8"
nationella program,88839172,"98,7"
nationella program,48412612,"88,6"
nationella program,95618280,"76,4"
nationella program,75075402,"89,5"
nationella program,26326048,"76,7"
nationella program,37839488,"78,0"
nationella program,46256929,"92,1"
nationella program,83374651,"100,0"
nationella program,59796774,"100,0"
nationella program,17675502,"60,5"
nationella program,75600007,"80,0"
nationella program,73812226,"77,1"
nationella program,30762346,..
nationella program,82964090,"98,8"
nationella program,88955893,"97,6"
nationella program,15278518,"86,1"
nationella program,15390992,"95,3"
nationella program,63943560,"85,1"
nationella program,85516596,"87,9"
nationella program,31998226,..
nationella program,38236800,"81,3"
nationella program,16784385,"87,5"
nationella program,59026584,"93,6"
nationella program,79829846,"92,9"
nationella program,89963319,..
nationella program,24339566,"95,8"
nationella program,20061769,"100,0"
nationella program,65458415,..
nationella program,95154882,"85,7"
nationella program,52333875,"77,8"
nationella program,24663703,..
nationella program,28519815,"74,5"
nationella program,65666808,"85,7"
nationella program,69543519,"59,3"
nationella program,24397215,"88,6"
nationella program,30677562,"92,5"
nationella program,85054102,"95,2"
nationella program,87274273,"100,0"
nationella program,89693952,.
nationella program,24759907,"56,9"
nationella program,78433202,"84,7"
nationella program,41631104,"68,8"
nationella program,35366805,"85,7"
nationella program,31315191,"91,7"
nationella program,80357110,"78,3"
nationella program,42775003,"99,3"
nationella program,56670842,"100,0"
nationella program,89370947,"97,5"
nationella program,18451445,..
nationella program,48555205,"86,9"
nationella program,31313926,"72,4"
nationella program,30312720,"92,6"
nationella program,32116280,"92,2"
nationella program,57143976,"86,0"
nationella program,93367005,"83,0"
nationella program,53175499,"100,0"
nationella program,64388538,"100,0"
nationella program,52153758,"100,0"
nationella program,16501673,"68,4"
nationella program,26298615,"100,0"
nationella program,22116645,"95,2"
nationella program,99755443,"97,0"
nationella program,30167976,"88,4"
nationella program,50104466,"100,0"
nationella program,28004794,..
nationella program,32071849,"99,0"
nationella program,79845033,"89,5"
