program,skolkod,andel_minst_e_sam1
Nationella program,19035583,"100,0"
Nationella program,27993549,"91,0"
Nationella program,37912396,"97,7"
Nationella program,45593337,"98,7"
Nationella program,90312942,"98,8"
Nationella program,10226870,"100,0"
Nationella program,19839859,"92,3"
Nationella program,80280597,..
Nationella program,67628478,"100,0"
Nationella program,37517404,"100,0"
Nationella program,29159460,"92,0"
Nationella program,32057701,"100,0"
Nationella program,43601850,"93,9"
Nationella program,30615080,"96,6"
Nationella program,89630851,"100,0"
Nationella program,25178582,"97,1"
Nationella program,70543431,"100,0"
Nationella program,23476801,..
Nationella program,86351879,"98,9"
Nationella program,56041144,"100,0"
Nationella program,14586562,..
Nationella program,74322969,"92,9"
Nationella program,90260899,"97,2"
Nationella program,69302313,"91,3"
Nationella program,31057219,"92,8"
Nationella program,27079521,"99,0"
Nationella program,33572033,"95,8"
Nationella program,64579522,"98,4"
Nationella program,65234368,"100,0"
Nationella program,34381901,"100,0"
Nationella program,55150847,"99,0"
Nationella program,90076461,"100,0"
