program,skolkod,andel_minst_e_sva1
högskoleförberedande program,18208087,"100,0"
högskoleförberedande program,89982804,..
högskoleförberedande program,19464342,..
högskoleförberedande program,60743463,.
högskoleförberedande program,32960825,..
högskoleförberedande program,43609520,.
högskoleförberedande program,97968599,..
högskoleförberedande program,91748148,..
högskoleförberedande program,42218661,..
högskoleförberedande program,74434644,"100,0"
högskoleförberedande program,42022406,..
högskoleförberedande program,65192707,..
högskoleförberedande program,43634528,"100,0"
högskoleförberedande program,36263479,..
högskoleförberedande program,56679384,..
högskoleförberedande program,30538202,..
högskoleförberedande program,19150273,..
högskoleförberedande program,69018222,..
högskoleförberedande program,12889940,..
högskoleförberedande program,16554575,.
högskoleförberedande program,34076477,..
högskoleförberedande program,54896448,.
högskoleförberedande program,64284020,.
högskoleförberedande program,53400472,"100,0"
högskoleförberedande program,97758137,"96,9"
högskoleförberedande program,26334561,"100,0"
