program,skolkod,andel_minst_e_re1
Nationella program,65034473,..
Nationella program,13084253,"94,1"
Nationella program,32321364,..
Nationella program,59942080,"97,5"
Nationella program,66273269,"97,5"
Nationella program,82888663,"100,0"
Nationella program,11275959,"100,0"
Nationella program,58518163,"100,0"
Nationella program,50615280,"88,9"
Nationella program,19035583,"97,4"
Nationella program,27993549,"94,4"
Nationella program,37912396,"97,7"
Nationella program,45593337,"84,2"
Nationella program,90312942,"96,4"
Nationella program,10226870,"100,0"
Nationella program,19839859,"80,8"
Nationella program,80280597,..
Nationella program,67628478,"100,0"
Nationella program,37517404,"100,0"
Nationella program,29159460,"76,0"
Nationella program,32057701,"100,0"
Nationella program,43601850,"97,0"
Nationella program,30615080,"92,2"
Nationella program,89630851,"97,7"
Nationella program,25178582,"88,4"
Nationella program,70543431,"100,0"
Nationella program,23476801,..
Nationella program,86351879,"92,0"
Nationella program,56041144,"96,2"
Nationella program,14586562,..
Nationella program,74322969,"94,6"
Nationella program,90260899,"100,0"
Nationella program,69302313,"100,0"
Nationella program,31057219,"91,0"
Nationella program,27079521,"95,9"
Nationella program,33572033,"97,9"
Nationella program,64579522,"88,7"
Nationella program,65234368,"98,4"
Nationella program,34381901,"87,1"
Nationella program,55150847,"99,0"
Nationella program,90076461,"100,0"
Nationella program,96414537,"100,0"
Nationella program,53069733,"93,9"
