skolkod,andel_med_utokat_prog
94975733,"33,3"
56802300,"35,7"
15149235,"53,2"
77379848,..
13981977,..
24538846,"71,4"
36886750,..
67422309,..
67058407,"21,4"
34421265,"30,2"
15791044,"57,5"
65392939,"50,9"
98696836,"33,3"
82160887,"50,0"
23175129,..
64908550,..
77358716,"23,2"
49739986,"50,7"
29225010,"29,4"
92192566,"21,8"
56886667,"29,8"
33249781,"38,5"
64648566,"52,6"
18691102,..
70302356,..
65421426,"27,9"
62394916,"75,0"
67908927,"54,2"
72071234,"23,3"
24349146,"42,5"
83605345,"61,9"
15933512,"27,7"
12198363,..
47692481,"37,0"
64693272,"59,3"
18072172,.
65833454,..
85188855,"52,2"
11341077,..
39528347,..
34988313,"21,3"
85473846,"17,6"
29744774,.
89690587,"38,3"
28045567,"36,5"
20768651,"43,9"
32239920,"47,7"
98781765,"27,5"
38880984,..
28872974,..
87112995,"46,4"
18686599,"89,1"
93779220,..
77797484,"20,6"
53279140,"31,9"
80785976,"32,1"
47559319,"37,3"
21532545,..
56187883,"42,6"
20752831,"19,6"
51023367,"48,4"
34739511,"96,2"
95069937,"100,0"
52690153,"68,8"
74776778,"28,6"
18345915,"86,0"
68229719,..
61004230,"24,5"
71262305,"57,4"
55795961,..
84947634,..
23517336,..
48009865,"25,2"
82840198,"40,8"
18208087,"62,5"
89982804,..
19464342,..
60743463,"90,9"
32960825,"39,3"
43609520,"86,7"
97968599,..
91748148,"58,6"
42218661,"63,6"
74434644,"31,3"
42022406,"66,1"
65192707,"18,8"
43634528,"31,3"
36263479,"8,6"
56679384,"29,5"
30538202,..
19150273,..
69018222,"14,5"
12889940,"52,8"
16554575,.
34076477,"19,5"
54896448,"100,0"
64284020,.
53400472,..
97758137,"40,0"
26334561,..
40386043,"22,1"
59483268,"43,6"
33685428,..
32879845,..
88573795,..
20699742,..
21663998,"16,5"
20595770,"19,0"
82814120,"22,7"
45164827,"14,0"
10924758,"64,9"
34153869,"37,5"
88259298,"90,0"
17846181,"58,8"
75082798,"18,6"
23555409,"42,5"
30341162,..
72266906,"25,5"
27030026,..
16950252,"57,7"
34637764,"20,5"
19912478,"33,9"
15077883,"42,9"
48434184,"24,6"
58724424,..
95684185,"36,8"
51138448,"32,5"
56421429,"73,5"
39911065,..
17008320,"72,3"
56737496,"28,9"
93939982,"29,5"
25720752,"23,2"
55155562,"43,1"
31533003,"36,7"
16361868,.
23164911,"34,1"
24008049,"45,9"
19981611,..
54481243,..
36680097,..
19586169,..
24273261,..
95683850,"93,8"
59455288,..
25679488,"29,2"
25677996,"55,9"
89888648,"48,9"
35063170,"23,5"
31279294,..
36782335,"14,7"
23897040,..
20666515,"36,1"
37906565,..
67279303,.
21648755,"23,6"
11111710,..
90551279,"29,4"
69686851,..
49616977,..
54965510,"15,4"
84835666,"69,1"
25872338,.
54164490,..
20319353,"25,0"
92194545,..
64740897,..
78979604,..
10974852,..
85068812,..
78397312,"7,3"
36444853,"13,4"
16819383,..
89837629,"10,7"
12994441,..
88774402,"76,8"
75141151,..
61701709,"12,9"
61469192,"77,8"
84306392,"20,9"
28627819,..
30086854,.
26627862,..
48847282,"18,9"
72517762,"38,5"
79094701,"72,0"
38684438,"8,0"
31251822,"46,7"
90099336,..
35647481,"51,4"
39549479,"70,2"
73147554,"40,5"
69983740,"40,7"
66491596,"48,5"
12052268,"26,6"
71597051,"12,0"
53231578,"25,3"
96279444,..
40690520,"16,6"
91011325,..
97382366,"30,8"
35006050,"18,2"
10638939,..
21505555,..
34336190,..
21052710,"53,3"
69739484,"53,5"
92887917,..
88834120,"21,3"
70066748,..
19207279,"13,3"
53640774,"10,0"
58502307,"100,0"
97177328,..
72127035,"52,3"
70969714,"55,2"
68734112,"30,0"
71922787,"23,8"
74148070,"44,4"
92507006,"23,8"
44653962,..
20100577,..
81993306,"46,0"
19051089,..
47264019,"17,5"
50198492,"32,9"
98052678,"40,4"
20099064,"63,8"
16313848,"16,8"
79606767,"37,2"
11294673,"33,3"
86327236,"30,3"
41745951,"22,4"
83137205,"55,8"
28398531,..
66335258,..
54172830,"49,2"
75458014,..
65136104,..
61826221,.
79033948,"77,8"
56330385,"27,9"
20228162,"19,2"
68240485,..
95046058,..
44392995,"26,4"
53462953,"21,4"
60730660,"36,8"
82592568,"26,7"
78875918,"35,2"
86385479,..
49862313,"21,9"
99838438,..
42859669,"11,1"
99592025,"19,8"
34247736,"10,5"
47550455,"43,1"
30329172,..
76877530,..
47046103,..
38167912,"78,9"
43826783,.
58125096,"30,6"
82914148,..
20620556,..
77839100,.
17173461,..
55535552,..
30468157,"44,3"
92533079,"24,5"
61528940,..
23681822,..
66861851,"8,7"
72206824,..
92858957,"30,3"
86296935,..
44113417,"60,0"
67783774,.
39555838,..
85214294,..
82084961,"14,3"
46162400,"100,0"
67279263,"11,4"
51210136,"8,3"
73829818,..
54395430,.
18881773,..
50908408,"90,9"
18594470,"18,9"
78295411,..
80686587,..
72232853,"50,6"
12279302,..
64205087,"44,2"
50500028,"28,6"
91984508,"74,3"
40667807,..
18091973,"26,3"
88466776,"82,2"
36539945,..
40634612,"39,0"
66132676,"23,0"
57942242,..
77688926,..
14508922,"12,5"
37358234,..
21008461,..
54606928,"12,8"
53893730,"15,6"
42573391,..
64574972,..
19741742,..
29032715,..
45830583,..
48931433,..
19909435,"62,1"
30530571,"7,2"
78839208,"14,7"
96024712,"16,8"
30458073,..
85800840,"67,3"
68920727,"34,7"
27115998,"64,0"
41867682,..
79516949,"25,0"
96684210,"30,4"
87207941,"44,4"
11673760,"9,4"
46574937,"26,0"
23836342,"22,7"
63791419,"62,1"
39805497,"80,0"
38400227,..
81619482,"31,1"
12395564,..
90006712,"94,1"
39149668,"29,6"
38233622,"91,7"
48722826,"31,0"
73063662,"23,8"
40766349,..
53691739,.
43251309,..
67554405,"24,7"
73944169,"34,7"
98239050,..
94455820,..
61547652,..
62104139,..
87034307,"26,1"
78872213,"25,7"
76860623,.
58191646,..
80405898,"22,6"
56021320,..
63179610,.
64569393,..
64160122,..
48217580,"18,3"
51620045,"26,2"
86888278,..
57397381,"34,4"
56947954,"31,6"
72022487,"33,9"
71512894,"71,0"
28248021,"45,7"
44417214,"44,6"
25025681,..
88776535,"25,0"
49488344,..
74408578,"19,2"
71043974,"29,3"
57777751,..
38732602,.
89807183,"14,1"
61161774,"9,5"
86158933,"36,5"
75914181,"28,9"
39302565,"100,0"
96818167,..
79527481,"32,8"
67300857,"21,6"
99279503,..
63653488,..
84476205,"60,0"
24544503,"15,8"
25392789,"8,7"
69240218,"78,1"
38460895,..
31199511,"22,8"
12934438,"20,7"
43313366,"37,1"
86787111,"21,4"
97868185,..
77823650,..
37550979,..
60214465,.
70137084,..
82002016,"39,6"
23306658,"45,8"
97535124,"70,6"
11102578,"25,6"
69306209,"50,0"
10129345,..
17944628,"11,2"
94468610,..
94090461,"47,3"
12954099,"44,9"
80931789,"10,0"
90473340,"41,7"
69807202,..
64648904,..
75939593,"18,3"
26324896,..
56639389,"17,9"
95700485,"92,9"
51449748,"25,6"
28267726,"72,0"
12613085,..
53896162,"26,4"
17779637,"24,1"
