skolkod,andel_minst_e_idr1
31975673,"99,6"
82251333,"98,6"
99864908,"98,1"
27106031,"97,2"
59463950,"100,0"
63931325,"100,0"
57391913,"94,7"
75374280,"93,6"
46148350,"95,5"
50133877,"96,3"
49868916,"97,8"
74919147,"96,8"
90240730,"96,1"
84908877,"90,3"
78389879,"100,0"
24277564,"97,1"
88956420,..
44412461,"99,5"
34002355,"82,1"
36355200,"96,5"
96920524,"97,1"
18217765,"100,0"
60919765,..
14677676,"69,7"
96152872,"100,0"
77835341,"100,0"
70803636,"98,3"
49576295,"100,0"
66028861,"100,0"
23797825,"94,6"
45293715,"95,5"
44738639,"87,5"
77712952,"88,7"
92009807,"74,4"
10433896,"100,0"
10342448,"78,3"
43154449,"97,4"
49170638,"95,3"
46379730,"94,9"
25379974,"100,0"
98032567,..
96194948,"77,8"
25955541,"93,8"
88025221,"99,7"
18042101,"100,0"
14799321,"96,6"
56041699,"97,1"
45111086,"100,0"
70955448,"100,0"
68824244,"98,1"
90685868,"100,0"
24501884,"100,0"
46707989,"100,0"
46986216,"97,0"
67924816,"98,2"
92805465,"98,9"
56084099,"97,4"
80711021,"96,8"
17648596,"94,5"
16720048,"95,5"
13960635,"96,2"
39341381,"91,7"
61176909,"100,0"
43479922,"100,0"
60088179,"98,4"
28391147,"98,5"
29209307,"100,0"
21778322,"98,7"
31380193,"100,0"
90290154,"96,7"
25847233,"91,5"
62612992,"95,8"
85485803,"97,2"
92816527,"87,2"
16848652,"95,2"
88429477,"91,7"
94975733,"98,5"
56802300,"95,2"
15149235,"98,7"
77379848,..
13981977,"94,4"
24538846,"94,3"
36886750,"88,9"
67422309,"88,6"
67058407,"97,1"
34421265,"84,1"
15791044,"97,5"
65392939,"100,0"
98696836,"99,1"
82160887,"98,1"
23175129,"94,4"
64908550,"100,0"
77358716,"98,8"
49739986,"98,6"
29225010,"100,0"
92192566,"94,5"
56886667,"99,4"
33249781,"90,4"
64648566,"94,7"
18691102,"84,6"
70302356,"100,0"
65421426,"99,4"
62394916,"100,0"
67908927,"100,0"
72071234,"100,0"
24349146,"96,7"
83605345,"95,2"
15933512,"98,6"
12198363,..
47692481,"80,4"
64693272,"96,3"
18072172,"100,0"
65833454,"96,2"
85188855,"78,3"
11341077,"100,0"
39528347,"94,4"
34988313,"100,0"
85473846,"97,3"
29744774,..
89690587,"97,9"
28045567,"98,7"
20768651,"100,0"
32239920,"86,2"
98781765,"92,8"
38880984,"96,8"
28872974,"100,0"
87112995,"89,3"
18686599,"100,0"
93779220,"96,2"
77797484,"91,2"
53279140,"89,4"
80785976,"94,6"
47559319,"100,0"
21532545,"91,3"
56187883,"80,9"
20752831,"98,2"
51023367,"100,0"
34739511,"100,0"
95069937,"100,0"
52690153,"100,0"
74776778,"94,6"
18345915,"100,0"
68229719,"96,6"
61004230,"95,9"
71262305,"98,5"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"93,9"
82840198,"98,0"
18208087,"100,0"
89982804,..
19464342,"90,9"
60743463,"100,0"
32960825,"100,0"
43609520,"80,0"
97968599,"100,0"
91748148,"98,9"
42218661,"100,0"
74434644,"98,4"
42022406,"96,4"
65192707,"100,0"
43634528,"100,0"
36263479,"100,0"
56679384,"97,4"
30538202,"100,0"
19150273,"90,9"
69018222,"96,1"
12889940,"97,2"
16554575,.
34076477,"99,3"
54896448,"100,0"
64284020,..
53400472,"95,0"
97758137,"98,3"
26334561,"98,9"
40386043,"97,0"
59483268,"94,9"
33685428,"100,0"
32879845,"100,0"
88573795,..
20699742,"100,0"
21663998,"100,0"
20595770,"97,1"
82814120,"100,0"
45164827,"100,0"
10924758,"94,6"
34153869,"100,0"
88259298,"100,0"
17846181,"97,1"
75082798,"94,9"
23555409,"97,5"
30341162,"96,6"
72266906,"97,2"
27030026,"100,0"
16950252,"100,0"
34637764,"97,3"
19912478,"100,0"
15077883,"95,9"
48434184,"100,0"
58724424,"100,0"
95684185,"100,0"
51138448,"97,5"
56421429,"100,0"
39911065,"100,0"
17008320,"100,0"
56737496,"94,7"
93939982,"97,7"
25720752,"100,0"
55155562,"97,6"
31533003,"100,0"
16361868,..
23164911,"100,0"
24008049,"100,0"
19981611,"100,0"
54481243,"90,9"
36680097,"100,0"
19586169,"100,0"
24273261,"100,0"
95683850,"100,0"
59455288,"100,0"
25679488,"100,0"
25677996,"97,1"
89888648,"100,0"
35063170,"100,0"
31279294,"92,3"
36782335,"99,6"
23897040,..
20666515,"100,0"
37906565,..
67279303,..
21648755,"97,2"
11111710,"100,0"
90551279,"98,0"
69686851,"100,0"
49616977,"98,1"
54965510,"98,3"
84835666,"100,0"
25872338,..
54164490,"96,0"
20319353,"100,0"
92194545,"100,0"
64740897,..
78979604,..
10974852,..
85068812,"96,0"
78397312,"99,0"
36444853,"96,3"
16819383,"100,0"
89837629,"96,1"
12994441,"92,6"
88774402,"100,0"
75141151,"98,8"
61701709,"100,0"
61469192,"95,2"
84306392,"100,0"
28627819,"95,1"
30086854,.
26627862,"97,9"
48847282,"96,7"
72517762,"100,0"
79094701,"100,0"
38684438,"96,0"
31251822,"88,6"
90099336,..
35647481,"98,6"
39549479,"97,6"
73147554,"100,0"
69983740,"100,0"
66491596,"100,0"
12052268,"89,9"
71597051,"100,0"
53231578,"98,9"
96279444,"92,7"
40690520,"100,0"
91011325,"93,3"
97382366,"88,5"
35006050,"100,0"
10638939,"60,6"
21505555,"99,2"
34336190,"100,0"
21052710,"100,0"
69739484,"83,1"
92887917,"100,0"
88834120,"100,0"
70066748,"100,0"
19207279,"100,0"
53640774,"99,2"
58502307,"100,0"
97177328,"90,6"
72127035,"97,7"
70969714,"100,0"
68734112,"100,0"
71922787,"100,0"
74148070,"100,0"
92507006,"100,0"
44653962,"92,6"
20100577,"97,9"
81993306,"95,2"
19051089,"100,0"
47264019,"88,9"
50198492,"99,3"
98052678,"100,0"
20099064,"97,5"
16313848,"96,5"
79606767,"93,0"
11294673,"100,0"
86327236,"100,0"
41745951,"100,0"
83137205,"97,7"
28398531,"100,0"
66335258,"100,0"
54172830,"100,0"
75458014,"94,1"
65136104,..
61826221,.
79033948,"94,4"
56330385,"90,7"
20228162,"100,0"
68240485,"95,6"
95046058,"100,0"
