program,skolkod,andel_med_gr_behorighet
Nationella program,77609073,"25,0"
Nationella program,35894996,"72,2"
Nationella program,12926770,"86,8"
Nationella program,17119840,..
Nationella program,68748767,"31,9"
Nationella program,23548714,"69,8"
Nationella program,48593439,"70,0"
Nationella program,91773491,"65,7"
Nationella program,30361243,"91,6"
Nationella program,25596917,"89,8"
Nationella program,65722876,"92,7"
Nationella program,20984584,..
Nationella program,52129378,"68,5"
Nationella program,65381163,"74,3"
Nationella program,98541468,.
Nationella program,31155312,"46,0"
Nationella program,25648215,"20,8"
Nationella program,61823258,..
Nationella program,84424083,"97,7"
Nationella program,39178171,"69,0"
Nationella program,49231191,"89,4"
Nationella program,78231062,"99,2"
Nationella program,79994304,..
Nationella program,10481541,"87,7"
Nationella program,68006362,"37,7"
Nationella program,11608031,"19,6"
Nationella program,86762103,"39,3"
Nationella program,68381790,"68,7"
Nationella program,13006857,"71,7"
Nationella program,76007769,..
Nationella program,16956086,"73,5"
Nationella program,58187973,"85,0"
Nationella program,88894245,"52,4"
Nationella program,31870541,"94,7"
Nationella program,71160225,"60,0"
Nationella program,67752682,"37,5"
Nationella program,47884009,"38,7"
Nationella program,44672598,"84,9"
Nationella program,75340089,..
Nationella program,36670439,..
Nationella program,22220001,"27,1"
Nationella program,31822012,"83,2"
Nationella program,83161201,"91,4"
Nationella program,15100079,.
Nationella program,55421481,..
Nationella program,99356671,..
Nationella program,16702464,"78,3"
Nationella program,71353314,..
Nationella program,29449669,"89,8"
Nationella program,62855448,"88,9"
Nationella program,36252055,"83,2"
Nationella program,91812793,"94,0"
Nationella program,14355031,"82,2"
Nationella program,72891848,..
Nationella program,46611859,"91,1"
Nationella program,58907711,"100,0"
Nationella program,68285560,"96,0"
Nationella program,58544422,"92,8"
Nationella program,65150019,"91,7"
Nationella program,31796890,..
Nationella program,22426680,..
Nationella program,83805032,.
Nationella program,48862305,..
Nationella program,32887559,..
Nationella program,71541108,"65,0"
Nationella program,53832505,"61,0"
Nationella program,47537928,"75,9"
Nationella program,69471748,"53,0"
Nationella program,49750031,"98,0"
Nationella program,76485705,"98,2"
Nationella program,93239262,"78,9"
Nationella program,25745773,"50,7"
Nationella program,99976753,"87,1"
Nationella program,14278480,..
Nationella program,75575321,"97,7"
Nationella program,28023078,"64,6"
Nationella program,43284031,"71,1"
Nationella program,13963517,..
Nationella program,24194577,..
Nationella program,26267406,"45,8"
Nationella program,31255918,"39,7"
Nationella program,51955293,"87,4"
Nationella program,57690933,"95,8"
Nationella program,35035671,.
Nationella program,12130801,"78,0"
Nationella program,51736304,"65,6"
Nationella program,53180719,"14,9"
Nationella program,27489137,"85,2"
Nationella program,15609112,"50,0"
Nationella program,44285075,"82,9"
Nationella program,60424371,"47,1"
Nationella program,95785055,"100,0"
Nationella program,68655578,"51,2"
Nationella program,17062663,"29,1"
Nationella program,68741484,"74,6"
Nationella program,56267421,..
Nationella program,34990065,"28,6"
Nationella program,37054246,"58,3"
Nationella program,39199869,"93,7"
Nationella program,62216381,"24,5"
Nationella program,31179045,"70,8"
Nationella program,72421673,"81,4"
Nationella program,15763669,..
Nationella program,59655752,"82,7"
Nationella program,88750078,"38,8"
Nationella program,41878314,..
Nationella program,41555549,"76,8"
Nationella program,32003298,"50,0"
Nationella program,22383788,"87,0"
Nationella program,85459854,"65,0"
Nationella program,81876614,"86,2"
Nationella program,18711877,"75,0"
Nationella program,67071618,"71,6"
Nationella program,75324351,"54,3"
Nationella program,61229217,"52,8"
Nationella program,58929357,"91,7"
Nationella program,42517257,..
Nationella program,70376604,"87,9"
Nationella program,59575030,"92,9"
Nationella program,93503103,.
Nationella program,18617410,"85,1"
Nationella program,41697930,"40,5"
Nationella program,28025244,"62,2"
Nationella program,17184072,.
Nationella program,40338843,"86,7"
Nationella program,77440824,"70,9"
Nationella program,71069359,"64,7"
Nationella program,86896907,..
Nationella program,14292382,"38,2"
Nationella program,51981332,"100,0"
Nationella program,87859089,"78,0"
Nationella program,54764253,"34,0"
Nationella program,98908403,"71,8"
Nationella program,16493131,"54,6"
Nationella program,41119610,"98,2"
Nationella program,83272868,"96,3"
Nationella program,11526364,"96,2"
Nationella program,48304166,"40,4"
Nationella program,24982097,..
Nationella program,45552626,"82,5"
Nationella program,50906954,.
Nationella program,97104132,..
Nationella program,16748680,"87,9"
Nationella program,68597767,..
Nationella program,27964873,..
Nationella program,30706655,..
Nationella program,65674821,"67,7"
Nationella program,92332557,"88,0"
Nationella program,46332927,"32,4"
Nationella program,78690637,"67,3"
Nationella program,24653673,..
Nationella program,38048202,"75,6"
Nationella program,90990441,..
Nationella program,86319615,..
Nationella program,87303004,"35,1"
Nationella program,97835550,..
Nationella program,22446331,..
Nationella program,26671095,"53,1"
Nationella program,42911621,..
Nationella program,40575001,"29,8"
Nationella program,75027822,"62,5"
Nationella program,26508763,"58,4"
Nationella program,14504503,"46,2"
Nationella program,21850904,"100,0"
Nationella program,65320354,"100,0"
Nationella program,77544055,"86,7"
Nationella program,49112879,"88,0"
Nationella program,30279258,"94,4"
Nationella program,16198647,"52,8"
Nationella program,12496135,..
Nationella program,76903284,"50,0"
Nationella program,68649663,"64,9"
Nationella program,43623146,..
Nationella program,49141105,"71,2"
Nationella program,15870428,"62,7"
Nationella program,26646080,"91,2"
Nationella program,26750052,"82,4"
Nationella program,18974693,"92,5"
Nationella program,26996566,..
Nationella program,27704246,"90,9"
Nationella program,81997762,"37,7"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,..
Nationella program,31151740,"81,0"
Nationella program,79346084,"75,0"
Nationella program,34222422,..
Nationella program,84230226,..
Nationella program,42060237,..
Nationella program,89816391,"69,4"
Nationella program,14448619,"67,5"
Nationella program,12546590,"79,7"
Nationella program,43565270,"80,2"
Nationella program,77176811,"93,5"
Nationella program,52791537,"97,6"
Nationella program,85152591,"100,0"
Nationella program,85819857,"100,0"
Nationella program,40600798,"96,2"
Nationella program,52942981,"91,8"
