skolkod,andel_med_studiebevis
99838438,"25,0"
42859669,"21,1"
99592025,..
34247736,..
47550455,..
30329172,.
76877530,..
47046103,..
38167912,..
43826783,.
58125096,"19,4"
82914148,..
20620556,..
77839100,.
17173461,..
55535552,..
30468157,"9,0"
92533079,..
61528940,..
23681822,..
66861851,..
72206824,..
92858957,"10,1"
86296935,.
44113417,..
67783774,.
39555838,..
85214294,..
82084961,"28,6"
46162400,..
67279263,"8,1"
51210136,..
73829818,..
54395430,.
18881773,.
50908408,..
18594470,"10,5"
78295411,"21,8"
80686587,..
72232853,..
12279302,..
64205087,"10,9"
50500028,..
91984508,..
40667807,..
18091973,.
88466776,..
36539945,.
40634612,..
66132676,..
57942242,..
77688926,..
14508922,..
37358234,..
21008461,..
54606928,..
53893730,"11,9"
42573391,.
64574972,..
19741742,..
29032715,..
45830583,.
48931433,"15,5"
19909435,..
30530571,..
78839208,..
96024712,..
30458073,..
85800840,..
68920727,..
27115998,..
41867682,..
79516949,..
96684210,"4,6"
87207941,..
11673760,..
46574937,"6,2"
23836342,..
63791419,..
39805497,..
38400227,..
81619482,..
12395564,.
90006712,.
39149668,..
38233622,..
48722826,..
73063662,"28,6"
40766349,..
53691739,.
43251309,.
67554405,..
73944169,..
98239050,..
94455820,.
61547652,.
62104139,..
87034307,"9,2"
78872213,..
76860623,.
58191646,"10,6"
80405898,..
56021320,..
63179610,..
64569393,..
64160122,.
48217580,"7,0"
51620045,..
86888278,..
57397381,"18,5"
56947954,..
72022487,..
71512894,..
28248021,..
44417214,..
25025681,..
88776535,..
49488344,..
74408578,..
71043974,"9,3"
57777751,..
38732602,..
89807183,..
61161774,..
86158933,..
75914181,..
39302565,..
96818167,..
79527481,"10,4"
67300857,..
99279503,..
63653488,..
84476205,..
24544503,"9,6"
25392789,..
69240218,..
38460895,..
31199511,..
12934438,..
43313366,..
86787111,..
97868185,.
77823650,.
37550979,.
60214465,..
70137084,..
82002016,..
23306658,.
97535124,.
11102578,..
69306209,..
10129345,..
17944628,"8,6"
94468610,..
94090461,..
12954099,..
80931789,..
90473340,..
69807202,..
64648904,.
75939593,"5,8"
26324896,..
56639389,..
95700485,..
51449748,"9,9"
28267726,..
12613085,..
53896162,"5,3"
17779637,"14,9"
66824652,..
49168016,..
71929526,..
60873719,..
28085125,..
21938183,..
78986228,.
71472793,..
69063711,.
77609073,..
35894996,..
12926770,..
68748767,..
23548714,"30,2"
48593439,"30,0"
91773491,"34,3"
30361243,"8,4"
25596917,..
65722876,"7,3"
52129378,..
65381163,"25,7"
31155312,"44,7"
84424083,..
49231191,..
78231062,..
10481541,"12,3"
68381790,..
13006857,..
16956086,"9,4"
58187973,..
88894245,.
31870541,..
44672598,..
31822012,"16,8"
83161201,..
99356671,.
16702464,.
29449669,"10,2"
62855448,..
36252055,"5,0"
91812793,..
14355031,..
46611859,"8,9"
58907711,.
68285560,..
58544422,..
65150019,..
71541108,..
53832505,"39,0"
47537928,..
69471748,"23,5"
49750031,..
76485705,..
93239262,..
99976753,"12,0"
75575321,..
28023078,..
43284031,..
24194577,.
26267406,.
51955293,..
57690933,..
12130801,..
51736304,..
44285075,..
95785055,.
68655578,"23,9"
68741484,"11,4"
37054246,..
39199869,..
31179045,..
72421673,..
15763669,.
59655752,..
88750078,..
41555549,..
85459854,..
81876614,..
18711877,..
67071618,.
75324351,.
61229217,"31,6"
70376604,..
59575030,..
18617410,"17,2"
28025244,..
40338843,..
77440824,..
14292382,..
51981332,.
87859089,..
98908403,"25,0"
16493131,..
83272868,..
11526364,..
45552626,"17,5"
50906954,.
16748680,..
65674821,..
92332557,"12,0"
78690637,"13,1"
38048202,..
90990441,..
26671095,.
65320354,.
77544055,..
49112879,..
30279258,..
76903284,..
43623146,.
49141105,"28,8"
15870428,..
26646080,"8,8"
26750052,..
18974693,"7,5"
26996566,..
27704246,"9,1"
28967085,.
69747871,..
31151740,..
79346084,"12,8"
89816391,..
14448619,..
12546590,..
43565270,"19,8"
77176811,..
52791537,..
85152591,.
85819857,.
40600798,..
52942981,..
54117171,..
48120273,..
33233228,.
94167577,"33,1"
27023528,"24,5"
53903798,"35,9"
97770837,"15,2"
69650864,.
59581397,..
41938272,..
29423248,..
76054399,..
33132452,"33,3"
60142020,.
70811222,.
17911161,"41,0"
35084976,..
25525759,.
77632411,..
49068301,"23,2"
59898194,..
38195284,"10,1"
97510495,"9,9"
89461767,"13,3"
94717858,"9,2"
53760158,.
78422467,..
37802196,..
36288955,..
74812809,..
88839172,..
48412612,..
95618280,..
75075402,"10,5"
26326048,"23,3"
37839488,"22,0"
46256929,..
83374651,.
59796774,.
17675502,..
75600007,"18,6"
73812226,"22,9"
30762346,.
82964090,..
88955893,..
15278518,..
15390992,"5,2"
63943560,..
85516596,..
16784385,"12,5"
89963319,.
24339566,..
65458415,.
95154882,..
52333875,"23,1"
24663703,.
28519815,"25,5"
65666808,..
69543519,"40,7"
89693952,.
24759907,"39,4"
78433202,..
35366805,..
31315191,..
42775003,..
56670842,.
89370947,..
48555205,"13,1"
31313926,"27,6"
30312720,..
32116280,..
57143976,"14,0"
93367005,"19,3"
53175499,.
64388538,.
52153758,.
22116645,..
99755443,..
30167976,..
50104466,.
28004794,.
32071849,..
79845033,..
41099519,..
59386837,.
17276047,..
21382451,..
48244956,..
36769815,.
43873969,..
55825382,"16,7"
19306558,..
35301145,"12,5"
24993048,..
13084253,"15,8"
59942080,..
66273269,..
11275959,.
58518163,..
27993549,..
37912396,.
45593337,"14,5"
10226870,..
19839859,.
67628478,.
37517404,.
32057701,..
30615080,"31,0"
25178582,..
70543431,.
23476801,.
86351879,..
56041144,..
74322969,..
90260899,..
31057219,..
27079521,.
33572033,..
64579522,..
34381901,..
55150847,..
90076461,..
53069733,..
99394620,.
95368476,..
14853321,..
76448076,..
31537066,..
86488203,"12,3"
25156286,..
28081446,..
21400668,..
92949043,..
92818240,..
84329061,"11,5"
91048178,..
82718660,.
12399380,.
31486865,..
97265732,..
61720981,"9,7"
50424828,..
82931004,..
95024660,..
32263814,..
47393891,..
48414975,.
11533776,"17,3"
47108751,..
28829503,..
99622695,.
98651664,..
33657492,..
79309485,..
37078868,.
16130958,..
82195565,..
33596572,..
77713695,..
51131594,..
89680395,.
53696633,.
27440210,..
62758285,.
16218090,.
64667996,..
23544320,.
57668673,..
69040241,..
63993414,.
49136871,.
20855811,"27,9"
53923398,"15,8"
74560191,.
47844862,"6,6"
72984079,"24,5"
36480690,..
24787883,..
32995170,..
52048443,..
61674097,..
32550660,..
93488613,..
45600034,.
59599256,"4,4"
26957025,..
90509211,..
43277545,"30,4"
11953769,..
50393060,..
85788659,..
95340745,.
59521477,..
92442684,..
66095163,"19,6"
54599691,"8,4"
54004368,..
31975673,"4,9"
82251333,..
99864908,..
27106031,..
59463950,.
63931325,.
57391913,..
75374280,..
46148350,..
50133877,..
49868916,..
74919147,..
78389879,..
24277564,..
44412461,"2,7"
36355200,..
96920524,..
18217765,..
70803636,..
49576295,.
66028861,.
23797825,"24,5"
45293715,"21,2"
77712952,..
10433896,..
43154449,.
49170638,..
46379730,..
25379974,..
88025221,"8,4"
18042101,..
56041699,..
45111086,.
70955448,..
68824244,..
46707989,..
46986216,..
67924816,..
92805465,"12,6"
56084099,..
16720048,..
13960635,..
61176909,.
43479922,..
28391147,..
21778322,..
31380193,..
62612992,"14,3"
85485803,"14,1"
16848652,.
88429477,..
94975733,..
56802300,.
15149235,..
13981977,.
24538846,..
67058407,"18,6"
15791044,..
65392939,..
98696836,.
64908550,..
77358716,..
49739986,..
29225010,..
92192566,"21,8"
56886667,"3,9"
64648566,..
65421426,"8,3"
62394916,.
67908927,..
72071234,..
24349146,..
83605345,.
15933512,..
64693272,..
18072172,.
65833454,..
11341077,..
34988313,..
28045567,..
20768651,..
38880984,"10,4"
28872974,"21,6"
18686599,..
93779220,"8,8"
77797484,..
80785976,..
47559319,..
21532545,..
56187883,..
20752831,"20,5"
51023367,.
34739511,.
52690153,.
93221031,..
17474377,..
18345915,..
68229719,.
61004230,..
71262305,.
55795961,.
84947634,..
97870412,.
68564903,..
82840198,..
18208087,..
89982804,.
19464342,.
60743463,.
32960825,..
43609520,..
41416934,.
21567982,..
49379603,.
80167319,.
73171934,.
83474173,..
91487291,.
21866405,..
74434644,..
42022406,..
88445871,..
18425335,"13,1"
93281974,..
23424275,..
19150273,.
25624692,.
88534520,..
16554575,..
25356960,..
64284020,..
98132436,..
60096875,..
26334561,..
40386043,..
29324709,.
26864271,..
59483268,..
33685428,..
88573795,..
82814120,..
10924758,..
34153869,.
88259298,.
73098153,..
44240250,..
17846181,.
75082798,"30,6"
23555409,.
91333138,..
30341162,..
39936461,.
72266906,..
27030026,.
12154972,..
16950252,..
34637764,..
73255276,.
15077883,..
48434184,..
58724424,..
51138448,..
19647256,..
56421429,..
39911065,..
17008320,..
56737496,.
88850910,..
93939982,..
25720752,..
55155562,"19,0"
31533003,..
31429031,..
16361868,.
24008049,..
36680097,..
87756916,..
59734510,..
19586169,..
24273261,..
95683850,.
59455288,..
82163292,..
25679488,..
25677996,..
89888648,..
90003262,..
88163512,..
35063170,..
31279294,..
36782335,"13,8"
20666515,..
37906565,.
67279303,..
21648755,"22,8"
11111710,.
90551279,"8,7"
93062368,..
69686851,"16,5"
49616977,..
90267145,..
72998905,.
