program,skolkod,antal_elever
nationella program,61674097,91
nationella program,32550660,339
nationella program,93488613,34
nationella program,45600034,11
nationella program,59599256,306
nationella program,69865450,50
nationella program,31112935,30
nationella program,26957025,234
nationella program,90509211,100
nationella program,43277545,56
nationella program,37316242,87
nationella program,20173336,66
nationella program,49872493,29
nationella program,39147056,53
nationella program,11953769,12
nationella program,28646435,25
nationella program,50393060,85
nationella program,85788659,45
nationella program,95340745,33
nationella program,59521477,71
nationella program,92442684,60
nationella program,66095163,51
nationella program,38544187,47
nationella program,54599691,151
nationella program,54004368,152
nationella program,54467211,90
nationella program,23517683,19
nationella program,31975673,224
nationella program,82251333,70
nationella program,99864908,53
nationella program,27106031,71
nationella program,59463950,66
nationella program,63931325,76
nationella program,57391913,75
nationella program,75374280,47
nationella program,46148350,66
nationella program,50133877,109
nationella program,49868916,139
nationella program,74919147,62
nationella program,90240730,77
nationella program,84908877,31
nationella program,78389879,25
nationella program,24277564,35
nationella program,88956420,..
nationella program,44412461,401
nationella program,34002355,39
nationella program,36355200,85
nationella program,96920524,69
nationella program,18217765,94
nationella program,60919765,..
nationella program,14677676,33
nationella program,96152872,46
nationella program,77835341,12
nationella program,70803636,118
nationella program,49576295,41
nationella program,66028861,88
nationella program,23797825,74
nationella program,45293715,66
nationella program,44738639,16
nationella program,77712952,73
nationella program,92009807,78
nationella program,10433896,117
nationella program,10342448,46
nationella program,43154449,38
nationella program,49170638,43
nationella program,46379730,39
nationella program,25379974,22
nationella program,98032567,..
nationella program,96194948,27
nationella program,25955541,48
nationella program,88025221,349
nationella program,18042101,85
nationella program,14799321,29
nationella program,56041699,34
nationella program,45111086,15
nationella program,70955448,170
nationella program,68824244,103
nationella program,90685868,61
nationella program,24501884,43
nationella program,46707989,88
nationella program,46986216,66
nationella program,67924816,111
nationella program,92805465,114
nationella program,56084099,38
nationella program,80711021,93
nationella program,17648596,55
nationella program,16720048,66
nationella program,13960635,79
nationella program,39341381,12
nationella program,61176909,92
nationella program,43479922,22
nationella program,60088179,61
nationella program,28391147,135
nationella program,29209307,28
nationella program,21778322,79
nationella program,31380193,22
nationella program,90290154,30
nationella program,25847233,71
nationella program,62612992,119
nationella program,85485803,71
nationella program,92816527,86
nationella program,16848652,42
nationella program,88429477,48
nationella program,94975733,66
nationella program,56802300,42
nationella program,15149235,79
nationella program,77379848,10
nationella program,13981977,18
nationella program,24538846,35
nationella program,36886750,18
nationella program,67422309,35
nationella program,67058407,70
nationella program,34421265,63
nationella program,15791044,40
nationella program,65392939,110
nationella program,98696836,114
nationella program,82160887,54
nationella program,23175129,18
nationella program,64908550,31
nationella program,77358716,82
nationella program,49739986,73
nationella program,29225010,51
nationella program,92192566,55
nationella program,56886667,336
nationella program,33249781,52
nationella program,64648566,38
nationella program,18691102,13
nationella program,70302356,25
nationella program,65421426,334
nationella program,62394916,28
nationella program,67908927,24
nationella program,72071234,180
nationella program,24349146,299
nationella program,83605345,21
nationella program,15933512,282
nationella program,12198363,..
nationella program,47692481,46
nationella program,64693272,27
nationella program,18072172,10
nationella program,65833454,26
nationella program,85188855,23
nationella program,11341077,31
nationella program,39528347,36
nationella program,34988313,89
nationella program,85473846,74
nationella program,29744774,..
nationella program,89690587,47
nationella program,28045567,159
nationella program,20768651,57
nationella program,32239920,65
nationella program,98781765,69
nationella program,38880984,125
nationella program,28872974,74
nationella program,87112995,28
nationella program,18686599,55
nationella program,93779220,132
nationella program,77797484,68
nationella program,53279140,47
nationella program,80785976,56
nationella program,47559319,51
nationella program,21532545,23
nationella program,56187883,68
nationella program,20752831,112
nationella program,51023367,62
nationella program,34739511,26
nationella program,95069937,18
nationella program,52690153,32
högskoleförberedande program,74776778,56
högskoleförberedande program,18345915,50
högskoleförberedande program,68229719,58
högskoleförberedande program,61004230,49
högskoleförberedande program,71262305,68
högskoleförberedande program,55795961,10
högskoleförberedande program,84947634,21
högskoleförberedande program,23517336,12
högskoleförberedande program,48009865,115
högskoleförberedande program,82840198,49
högskoleförberedande program,18208087,40
högskoleförberedande program,89982804,..
högskoleförberedande program,19464342,22
högskoleförberedande program,60743463,11
högskoleförberedande program,32960825,61
högskoleförberedande program,43609520,15
högskoleförberedande program,97968599,51
högskoleförberedande program,91748148,87
högskoleförberedande program,42218661,40
högskoleförberedande program,74434644,128
högskoleförberedande program,42022406,56
högskoleförberedande program,65192707,138
högskoleförberedande program,43634528,131
högskoleförberedande program,36263479,152
högskoleförberedande program,56679384,78
högskoleförberedande program,30538202,28
högskoleförberedande program,19150273,11
högskoleförberedande program,69018222,76
högskoleförberedande program,12889940,108
högskoleförberedande program,16554575,17
högskoleförberedande program,34076477,149
högskoleförberedande program,54896448,20
högskoleförberedande program,64284020,..
högskoleförberedande program,53400472,20
högskoleförberedande program,97758137,60
högskoleförberedande program,26334561,178
högskoleförberedande program,40386043,267
högskoleförberedande program,59483268,39
högskoleförberedande program,33685428,18
högskoleförberedande program,32879845,13
högskoleförberedande program,88573795,..
högskoleförberedande program,20699742,135
högskoleförberedande program,21663998,109
högskoleförberedande program,20595770,105
högskoleförberedande program,82814120,66
högskoleförberedande program,45164827,178
högskoleförberedande program,10924758,37
högskoleförberedande program,34153869,72
högskoleförberedande program,88259298,20
högskoleförberedande program,17846181,34
högskoleförberedande program,75082798,156
högskoleförberedande program,23555409,120
högskoleförberedande program,30341162,29
högskoleförberedande program,72266906,106
högskoleförberedande program,27030026,80
högskoleförberedande program,16950252,97
högskoleförberedande program,34637764,73
högskoleförberedande program,19912478,144
högskoleförberedande program,15077883,49
högskoleförberedande program,48434184,61
högskoleförberedande program,58724424,14
högskoleförberedande program,95684185,68
högskoleförberedande program,51138448,40
högskoleförberedande program,56421429,34
högskoleförberedande program,39911065,57
högskoleförberedande program,17008320,65
högskoleförberedande program,56737496,38
högskoleförberedande program,93939982,44
högskoleförberedande program,25720752,82
högskoleförberedande program,55155562,123
högskoleförberedande program,31533003,90
högskoleförberedande program,16361868,..
högskoleförberedande program,23164911,132
högskoleförberedande program,24008049,61
högskoleförberedande program,19981611,19
högskoleförberedande program,54481243,11
högskoleförberedande program,36680097,10
högskoleförberedande program,19586169,24
högskoleförberedande program,24273261,20
högskoleförberedande program,95683850,65
högskoleförberedande program,59455288,14
högskoleförberedande program,25679488,65
högskoleförberedande program,25677996,34
högskoleförberedande program,89888648,47
högskoleförberedande program,35063170,51
högskoleförberedande program,31279294,26
