program,skolkod,gbp
Nationella program,18974693,"14,7"
Nationella program,26996566,"15,2"
Nationella program,27704246,"15,6"
Nationella program,81997762,"12,5"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,"13,5"
Nationella program,31151740,"14,2"
Nationella program,79346084,"14,1"
Nationella program,34222422,"14,3"
Nationella program,84230226,..
Nationella program,42060237,"12,7"
Nationella program,89816391,"13,4"
Nationella program,14448619,"13,4"
Nationella program,12546590,"13,9"
Nationella program,43565270,"14,2"
Nationella program,77176811,"14,5"
Nationella program,52791537,"16,2"
Nationella program,85152591,"16,9"
Nationella program,85819857,"16,7"
Nationella program,40600798,"15,4"
Nationella program,52942981,"14,5"
Nationella program,54117171,"15,5"
Nationella program,48120273,"17,4"
Nationella program,33233228,..
Nationella program,94167577,"12,3"
Nationella program,27023528,"13,7"
Nationella program,53903798,"12,3"
Nationella program,85782695,"12,2"
Nationella program,98815582,"14,1"
Nationella program,97770837,"13,7"
Nationella program,21312503,"14,9"
Nationella program,69650864,"17,7"
Nationella program,59581397,"13,7"
Nationella program,14926020,"11,6"
Nationella program,41938272,"16,0"
Nationella program,29423248,"15,6"
Nationella program,76054399,"16,4"
Nationella program,33132452,"12,2"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"17,1"
Nationella program,17911161,"12,1"
Nationella program,35084976,"15,2"
Nationella program,25525759,.
Nationella program,77632411,"16,1"
Nationella program,56653353,"14,8"
Nationella program,49068301,"14,2"
Nationella program,59898194,"14,9"
Nationella program,38195284,"14,0"
Nationella program,97510495,"14,1"
Nationella program,89461767,"14,2"
Nationella program,94717858,"14,4"
Nationella program,53760158,"16,1"
Nationella program,78422467,"15,2"
Nationella program,37802196,..
Nationella program,38683336,"15,9"
Nationella program,36288955,"18,2"
Nationella program,74812809,"17,2"
Nationella program,88839172,"18,0"
Nationella program,48412612,"14,1"
Nationella program,95618280,"14,0"
Nationella program,75075402,"14,0"
Nationella program,26326048,"13,3"
Nationella program,37839488,"12,8"
Nationella program,46256929,"14,0"
Nationella program,83374651,"18,2"
Nationella program,59796774,"17,9"
Nationella program,17675502,"11,7"
Nationella program,75600007,"13,7"
Nationella program,73812226,"13,4"
Nationella program,30762346,..
Nationella program,82964090,"17,3"
Nationella program,88955893,"16,8"
Nationella program,15278518,"13,9"
Nationella program,15390992,"14,8"
Nationella program,63943560,"13,0"
Nationella program,85516596,"14,0"
Nationella program,31998226,..
Nationella program,38236800,"12,8"
Nationella program,16784385,"15,1"
Nationella program,59026584,"14,5"
Nationella program,79829846,"13,2"
Nationella program,89963319,..
Nationella program,24339566,"15,2"
Nationella program,20061769,"13,8"
Nationella program,65458415,..
Nationella program,95154882,"12,4"
Nationella program,52333875,"13,6"
Nationella program,24663703,..
Nationella program,28519815,"14,1"
Nationella program,65666808,"13,1"
Nationella program,69543519,"12,3"
Nationella program,24397215,"14,3"
Nationella program,30677562,"13,6"
Nationella program,85054102,"13,0"
Nationella program,87274273,"15,1"
Nationella program,89693952,.
Nationella program,24759907,"12,2"
Nationella program,78433202,"13,9"
Nationella program,41631104,"13,1"
Nationella program,35366805,"14,8"
Nationella program,31315191,"15,2"
Nationella program,80357110,"14,8"
Nationella program,42775003,"16,7"
Nationella program,56670842,"17,3"
Nationella program,89370947,"17,1"
Nationella program,18451445,..
Nationella program,48555205,"14,2"
Nationella program,31313926,"13,4"
Nationella program,30312720,"14,8"
Nationella program,32116280,"13,7"
Nationella program,57143976,"14,5"
Nationella program,93367005,"12,7"
Nationella program,53175499,"17,1"
Nationella program,64388538,"16,8"
Nationella program,52153758,"18,0"
Nationella program,16501673,"12,3"
Nationella program,26298615,"13,4"
Nationella program,22116645,"16,3"
Nationella program,99755443,"16,7"
Nationella program,30167976,"15,8"
Nationella program,50104466,"15,0"
Nationella program,28004794,..
Nationella program,32071849,"16,0"
Nationella program,79845033,"13,4"
Nationella program,41099519,"13,6"
Nationella program,59386837,"13,9"
Nationella program,21627442,"15,3"
Nationella program,17276047,"12,7"
Nationella program,73217812,"12,1"
Nationella program,21382451,"14,6"
Nationella program,48244956,"13,4"
Nationella program,36769815,"13,5"
Nationella program,16931486,"13,2"
Nationella program,92489953,"13,2"
Nationella program,43873969,"15,4"
Nationella program,55825382,"13,3"
Nationella program,19306558,"15,3"
Nationella program,35301145,"13,9"
Nationella program,24993048,"13,9"
Nationella program,70132092,"11,0"
Nationella program,65034473,..
Nationella program,13084253,"13,3"
Nationella program,32321364,"12,4"
Nationella program,59942080,"13,5"
Nationella program,66273269,"14,6"
Nationella program,82888663,"14,1"
Nationella program,11275959,"13,6"
Nationella program,58518163,"13,7"
Nationella program,50615280,"14,9"
Nationella program,19035583,"13,9"
Nationella program,27993549,"12,8"
Nationella program,37912396,"15,1"
Nationella program,45593337,"13,7"
Nationella program,90312942,"13,1"
Nationella program,10226870,"16,3"
Nationella program,19839859,"14,0"
Nationella program,80280597,..
Nationella program,67628478,"17,4"
Nationella program,37517404,"15,4"
Nationella program,29159460,"12,9"
Nationella program,32057701,"15,8"
Nationella program,43601850,"12,1"
Nationella program,30615080,"13,1"
Nationella program,89630851,"14,9"
Nationella program,25178582,"14,2"
Nationella program,70543431,"16,6"
Nationella program,23476801,..
Nationella program,86351879,"13,8"
Nationella program,56041144,"13,5"
Nationella program,14586562,..
Nationella program,74322969,"12,9"
Nationella program,90260899,"14,3"
Nationella program,69302313,"14,5"
Nationella program,31057219,"14,0"
Nationella program,27079521,"14,0"
Nationella program,33572033,"14,1"
Nationella program,64579522,"14,1"
Nationella program,65234368,"14,7"
Nationella program,34381901,"14,3"
Nationella program,55150847,"15,1"
Nationella program,90076461,"14,7"
Nationella program,96414537,"13,8"
Nationella program,53069733,"14,9"
Nationella program,99394620,"15,1"
