program,skolkod,andel_minst_e_eng5
Nationella program,84230226,..
Nationella program,42060237,"97,7"
Nationella program,89816391,"98,4"
Nationella program,14448619,"100,0"
Nationella program,12546590,"96,9"
Nationella program,43565270,"100,0"
Nationella program,77176811,"100,0"
Nationella program,52791537,"100,0"
Nationella program,85152591,"100,0"
Nationella program,85819857,"100,0"
Nationella program,40600798,"99,2"
Nationella program,52942981,"100,0"
Nationella program,54117171,"100,0"
Nationella program,48120273,"100,0"
Nationella program,33233228,..
Nationella program,94167577,"99,4"
Nationella program,27023528,"97,9"
Nationella program,53903798,"92,4"
Nationella program,85782695,"92,3"
Nationella program,98815582,"96,0"
Nationella program,97770837,"100,0"
Nationella program,21312503,"100,0"
Nationella program,69650864,"100,0"
Nationella program,59581397,"100,0"
Nationella program,14926020,"84,2"
Nationella program,41938272,"100,0"
Nationella program,29423248,"100,0"
Nationella program,76054399,"100,0"
Nationella program,33132452,"95,1"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"100,0"
Nationella program,17911161,"98,2"
Nationella program,35084976,"100,0"
Nationella program,25525759,.
Nationella program,77632411,"100,0"
Nationella program,56653353,"100,0"
Nationella program,49068301,"100,0"
Nationella program,59898194,"98,0"
Nationella program,38195284,"99,2"
Nationella program,97510495,"100,0"
Nationella program,89461767,"100,0"
Nationella program,94717858,"100,0"
Nationella program,53760158,"100,0"
Nationella program,78422467,"100,0"
Nationella program,37802196,..
Nationella program,38683336,"100,0"
Nationella program,36288955,"100,0"
Nationella program,74812809,"100,0"
Nationella program,88839172,"100,0"
Nationella program,48412612,"100,0"
Nationella program,95618280,"96,2"
Nationella program,75075402,"100,0"
Nationella program,26326048,"99,2"
Nationella program,37839488,"99,4"
Nationella program,46256929,"100,0"
Nationella program,83374651,"100,0"
Nationella program,59796774,"100,0"
Nationella program,17675502,"92,1"
Nationella program,75600007,"100,0"
Nationella program,73812226,"100,0"
Nationella program,30762346,..
Nationella program,82964090,"100,0"
Nationella program,88955893,"100,0"
Nationella program,15278518,"98,6"
Nationella program,15390992,"100,0"
Nationella program,63943560,"100,0"
Nationella program,85516596,"100,0"
Nationella program,31998226,..
Nationella program,38236800,"93,8"
Nationella program,16784385,"100,0"
Nationella program,59026584,"100,0"
Nationella program,79829846,"100,0"
Nationella program,89963319,..
Nationella program,24339566,"100,0"
Nationella program,20061769,"100,0"
Nationella program,65458415,..
Nationella program,95154882,"100,0"
Nationella program,52333875,"99,1"
Nationella program,24663703,..
Nationella program,28519815,"98,1"
Nationella program,65666808,"94,5"
Nationella program,69543519,"100,0"
Nationella program,24397215,"100,0"
Nationella program,30677562,"98,8"
Nationella program,85054102,"95,2"
Nationella program,87274273,"100,0"
Nationella program,89693952,.
Nationella program,24759907,"96,0"
Nationella program,78433202,"100,0"
Nationella program,41631104,"87,5"
Nationella program,35366805,"100,0"
Nationella program,31315191,"100,0"
Nationella program,80357110,"95,7"
Nationella program,42775003,"100,0"
Nationella program,56670842,"100,0"
Nationella program,89370947,"100,0"
Nationella program,18451445,..
Nationella program,48555205,"100,0"
Nationella program,31313926,"100,0"
Nationella program,30312720,"100,0"
Nationella program,32116280,"100,0"
Nationella program,57143976,"99,1"
Nationella program,93367005,"98,9"
Nationella program,53175499,"100,0"
Nationella program,64388538,"100,0"
Nationella program,52153758,"100,0"
Nationella program,16501673,"81,6"
Nationella program,26298615,"100,0"
Nationella program,22116645,"100,0"
Nationella program,99755443,"100,0"
Nationella program,30167976,"100,0"
Nationella program,50104466,"100,0"
Nationella program,28004794,..
Nationella program,32071849,"100,0"
Nationella program,79845033,"98,8"
