program,skolkod,andel_minst_e_ma1
nationella program,84476205,"100,0"
nationella program,24544503,"98,2"
nationella program,25392789,"100,0"
nationella program,72109637,..
nationella program,69240218,"100,0"
nationella program,14057258,"100,0"
nationella program,38460895,"94,4"
nationella program,31199511,"98,7"
nationella program,12934438,"100,0"
nationella program,43313366,"97,6"
nationella program,86787111,"100,0"
nationella program,97868185,"100,0"
nationella program,81551726,"83,3"
nationella program,77823650,"100,0"
nationella program,37550979,"100,0"
nationella program,52634142,"98,9"
nationella program,76195214,"100,0"
nationella program,54839753,..
nationella program,32705515,"98,2"
nationella program,60214465,"89,2"
nationella program,70137084,"88,6"
nationella program,82002016,"95,5"
nationella program,21901328,"89,5"
nationella program,23306658,"100,0"
nationella program,57350392,..
nationella program,97535124,"100,0"
nationella program,11102578,"99,0"
nationella program,69306209,"100,0"
nationella program,92651253,"100,0"
nationella program,31740319,"91,9"
nationella program,10129345,"100,0"
nationella program,17944628,"97,7"
nationella program,82826083,"96,9"
nationella program,94468610,"94,6"
nationella program,94090461,"97,8"
nationella program,12954099,"100,0"
nationella program,80931789,"99,2"
nationella program,84098842,"100,0"
nationella program,90473340,"100,0"
nationella program,26167236,"100,0"
nationella program,69807202,"100,0"
nationella program,64648904,"100,0"
nationella program,75939593,"99,1"
nationella program,63035915,"95,3"
nationella program,26324896,"95,7"
nationella program,56639389,"100,0"
nationella program,95700485,"100,0"
nationella program,51449748,"100,0"
nationella program,28267726,"100,0"
nationella program,28848709,"100,0"
nationella program,12613085,"98,0"
nationella program,53896162,"100,0"
nationella program,17779637,"100,0"
nationella program,11185244,"97,1"
nationella program,56211717,"100,0"
nationella program,66824652,"97,9"
nationella program,49168016,"100,0"
nationella program,32042066,"96,2"
nationella program,50821167,"100,0"
nationella program,71929526,"100,0"
nationella program,92814975,"100,0"
nationella program,60873719,"100,0"
nationella program,28085125,"100,0"
nationella program,28770304,"100,0"
nationella program,21938183,"98,6"
nationella program,78986228,.
nationella program,71472793,"100,0"
nationella program,64123241,"100,0"
nationella program,69063711,"100,0"
nationella program,77609073,"98,1"
nationella program,35894996,"94,9"
nationella program,12926770,"100,0"
nationella program,17119840,"97,0"
nationella program,68748767,"90,4"
nationella program,23548714,"92,1"
nationella program,48593439,"100,0"
nationella program,91773491,"97,1"
nationella program,30361243,"99,3"
nationella program,25596917,"99,2"
nationella program,65722876,"97,9"
nationella program,20984584,"100,0"
nationella program,52129378,"97,3"
nationella program,65381163,"97,9"
nationella program,98541468,"100,0"
nationella program,31155312,"96,0"
nationella program,25648215,"89,6"
nationella program,61823258,"95,8"
nationella program,84424083,"100,0"
nationella program,39178171,"100,0"
nationella program,49231191,"97,9"
nationella program,78231062,"100,0"
nationella program,79994304,..
nationella program,10481541,"98,4"
nationella program,68006362,"94,3"
nationella program,11608031,"100,0"
nationella program,86762103,"92,9"
nationella program,68381790,"98,8"
nationella program,13006857,"97,0"
nationella program,76007769,"100,0"
nationella program,16956086,"99,0"
nationella program,58187973,"100,0"
nationella program,88894245,"100,0"
nationella program,31870541,"100,0"
nationella program,71160225,"100,0"
nationella program,67752682,"100,0"
nationella program,47884009,"100,0"
nationella program,44672598,"98,7"
nationella program,75340089,"93,8"
nationella program,36670439,"88,5"
nationella program,22220001,"91,5"
nationella program,31822012,"97,9"
nationella program,83161201,"98,8"
nationella program,15100079,..
nationella program,55421481,..
nationella program,99356671,"76,5"
nationella program,16702464,"100,0"
nationella program,71353314,..
nationella program,29449669,"100,0"
nationella program,62855448,"100,0"
nationella program,36252055,"100,0"
nationella program,91812793,"100,0"
nationella program,14355031,"100,0"
nationella program,72891848,"92,9"
nationella program,46611859,"98,3"
nationella program,58907711,"100,0"
nationella program,68285560,"100,0"
nationella program,58544422,"99,0"
nationella program,65150019,"98,6"
nationella program,31796890,..
nationella program,22426680,"92,3"
nationella program,83805032,"82,8"
nationella program,48862305,"91,4"
nationella program,32887559,"93,5"
nationella program,71541108,"90,0"
nationella program,53832505,"100,0"
nationella program,47537928,"89,7"
nationella program,69471748,"92,2"
nationella program,49750031,"100,0"
nationella program,76485705,"100,0"
nationella program,93239262,"96,1"
nationella program,25745773,"98,6"
nationella program,99976753,"97,8"
nationella program,14278480,"88,9"
nationella program,75575321,"100,0"
nationella program,28023078,"95,4"
nationella program,43284031,"97,6"
nationella program,13963517,"100,0"
nationella program,24194577,..
nationella program,26267406,"100,0"
nationella program,31255918,"100,0"
nationella program,51955293,"98,9"
nationella program,57690933,"100,0"
nationella program,35035671,"88,2"
nationella program,12130801,"100,0"
nationella program,51736304,"100,0"
nationella program,53180719,"100,0"
nationella program,27489137,"100,0"
nationella program,15609112,"100,0"
nationella program,44285075,"91,4"
nationella program,60424371,"94,1"
nationella program,95785055,"100,0"
nationella program,68655578,"96,8"
nationella program,17062663,"100,0"
nationella program,68741484,"99,3"
nationella program,56267421,"100,0"
nationella program,34990065,"100,0"
nationella program,37054246,"97,2"
nationella program,39199869,"100,0"
nationella program,62216381,"100,0"
nationella program,31179045,"98,6"
nationella program,72421673,"98,3"
nationella program,15763669,..
nationella program,59655752,"100,0"
nationella program,88750078,"98,0"
nationella program,41878314,..
nationella program,41555549,"96,8"
nationella program,32003298,"100,0"
nationella program,22383788,"100,0"
nationella program,85459854,"100,0"
nationella program,81876614,"100,0"
nationella program,18711877,"100,0"
nationella program,67071618,"98,5"
nationella program,75324351,"100,0"
nationella program,61229217,"88,9"
nationella program,58929357,"100,0"
nationella program,42517257,"96,9"
nationella program,70376604,"97,0"
nationella program,59575030,"100,0"
nationella program,93503103,"100,0"
nationella program,18617410,"100,0"
nationella program,41697930,"100,0"
nationella program,28025244,"97,8"
nationella program,17184072,"100,0"
nationella program,40338843,"98,8"
nationella program,77440824,"100,0"
nationella program,71069359,"100,0"
nationella program,86896907,"100,0"
nationella program,14292382,"97,3"
nationella program,51981332,"100,0"
nationella program,87859089,"94,9"
nationella program,54764253,"100,0"
nationella program,98908403,"95,5"
nationella program,16493131,"98,6"
nationella program,41119610,"100,0"
nationella program,83272868,"100,0"
nationella program,11526364,"100,0"
nationella program,48304166,"100,0"
nationella program,24982097,"77,8"
nationella program,45552626,"99,0"
nationella program,50906954,.
nationella program,97104132,"100,0"
nationella program,16748680,"96,6"
nationella program,68597767,..
nationella program,27964873,"91,7"
nationella program,30706655,"90,0"
nationella program,65674821,"96,8"
nationella program,92332557,"97,6"
nationella program,46332927,"97,3"
nationella program,78690637,"100,0"
nationella program,24653673,"100,0"
nationella program,38048202,"100,0"
nationella program,90990441,"87,5"
nationella program,86319615,"100,0"
nationella program,87303004,"100,0"
nationella program,97835550,"90,9"
nationella program,22446331,"94,6"
nationella program,26671095,"100,0"
nationella program,42911621,"99,0"
nationella program,40575001,"100,0"
nationella program,75027822,"100,0"
nationella program,26508763,"100,0"
nationella program,14504503,"100,0"
nationella program,21850904,"100,0"
nationella program,65320354,"100,0"
nationella program,77544055,"98,9"
nationella program,49112879,"98,0"
nationella program,30279258,"99,1"
nationella program,16198647,"100,0"
nationella program,12496135,"100,0"
nationella program,76903284,"97,4"
nationella program,68649663,"89,2"
nationella program,43623146,..
nationella program,49141105,"96,2"
nationella program,15870428,"96,6"
nationella program,26646080,"100,0"
nationella program,26750052,"99,2"
nationella program,18974693,"100,0"
nationella program,26996566,"100,0"
nationella program,27704246,"100,0"
nationella program,81997762,"98,4"
nationella program,28967085,..
nationella program,69747871,..
nationella program,70119254,"100,0"
nationella program,31151740,"100,0"
nationella program,79346084,"99,0"
nationella program,34222422,"93,3"
nationella program,84230226,..
nationella program,42060237,"90,9"
nationella program,89816391,"98,4"
nationella program,14448619,"99,1"
nationella program,12546590,"96,9"
nationella program,43565270,"100,0"
nationella program,77176811,"98,7"
nationella program,52791537,"100,0"
nationella program,85152591,"100,0"
nationella program,85819857,"100,0"
nationella program,40600798,"100,0"
nationella program,52942981,"97,6"
nationella program,54117171,"100,0"
nationella program,48120273,"100,0"
nationella program,33233228,..
nationella program,94167577,"96,9"
nationella program,27023528,"90,4"
nationella program,53903798,"91,1"
nationella program,85782695,"100,0"
nationella program,98815582,"86,7"
nationella program,97770837,"95,7"
nationella program,21312503,"100,0"
nationella program,69650864,"100,0"
nationella program,59581397,"100,0"
nationella program,14926020,"94,7"
nationella program,41938272,"100,0"
nationella program,29423248,"99,0"
nationella program,76054399,"100,0"
nationella program,33132452,"91,8"
nationella program,56942970,..
nationella program,60142020,..
nationella program,70811222,"100,0"
nationella program,17911161,"94,6"
nationella program,35084976,"100,0"
nationella program,25525759,.
nationella program,77632411,"100,0"
nationella program,56653353,"97,9"
nationella program,49068301,"100,0"
nationella program,59898194,"100,0"
nationella program,38195284,"100,0"
nationella program,97510495,"95,7"
nationella program,89461767,"97,3"
nationella program,94717858,"100,0"
nationella program,53760158,"100,0"
nationella program,78422467,"98,0"
nationella program,37802196,..
nationella program,38683336,"100,0"
nationella program,36288955,"100,0"
nationella program,74812809,"100,0"
nationella program,88839172,"100,0"
nationella program,48412612,"97,1"
nationella program,95618280,"97,2"
nationella program,75075402,"96,5"
nationella program,26326048,"98,3"
nationella program,37839488,"99,4"
nationella program,46256929,"100,0"
nationella program,83374651,"100,0"
nationella program,59796774,"100,0"
nationella program,17675502,"84,2"
nationella program,75600007,"98,6"
nationella program,73812226,"97,1"
nationella program,30762346,..
nationella program,82964090,"100,0"
nationella program,88955893,"100,0"
nationella program,15278518,"93,1"
nationella program,15390992,"99,6"
nationella program,63943560,"100,0"
nationella program,85516596,"98,1"
nationella program,31998226,..
nationella program,38236800,"95,8"
nationella program,16784385,"96,3"
nationella program,59026584,"99,4"
nationella program,79829846,"100,0"
nationella program,89963319,..
nationella program,24339566,"100,0"
nationella program,20061769,"100,0"
nationella program,65458415,..
nationella program,95154882,"92,9"
nationella program,52333875,"96,3"
nationella program,24663703,..
nationella program,28519815,"95,3"
nationella program,65666808,"96,7"
nationella program,69543519,"100,0"
nationella program,24397215,"90,9"
nationella program,30677562,"97,5"
nationella program,85054102,"100,0"
nationella program,87274273,"100,0"
nationella program,89693952,.
nationella program,24759907,"88,4"
nationella program,78433202,"100,0"
nationella program,41631104,"75,0"
nationella program,35366805,"92,9"
nationella program,31315191,"100,0"
nationella program,80357110,"95,7"
nationella program,42775003,"100,0"
nationella program,56670842,"100,0"
nationella program,89370947,"100,0"
nationella program,18451445,..
nationella program,48555205,"97,9"
nationella program,31313926,"100,0"
nationella program,30312720,"100,0"
nationella program,32116280,"100,0"
nationella program,57143976,"95,3"
nationella program,93367005,"100,0"
nationella program,53175499,"100,0"
nationella program,64388538,"100,0"
nationella program,52153758,"100,0"
nationella program,16501673,"86,8"
nationella program,26298615,"100,0"
nationella program,22116645,"100,0"
nationella program,99755443,"100,0"
nationella program,30167976,"100,0"
nationella program,50104466,"100,0"
nationella program,28004794,..
nationella program,32071849,"99,0"
nationella program,79845033,"100,0"
nationella program,41099519,"100,0"
nationella program,59386837,"98,6"
nationella program,21627442,"100,0"
nationella program,17276047,"98,1"
nationella program,73217812,"78,9"
nationella program,21382451,"100,0"
nationella program,48244956,"98,2"
nationella program,36769815,"100,0"
nationella program,16931486,"95,2"
nationella program,92489953,"96,3"
nationella program,43873969,"98,1"
nationella program,55825382,"100,0"
nationella program,19306558,"100,0"
nationella program,35301145,"100,0"
nationella program,24993048,"100,0"
nationella program,70132092,"91,5"
nationella program,65034473,..
nationella program,13084253,"92,2"
nationella program,32321364,"90,9"
nationella program,59942080,"95,0"
nationella program,66273269,"100,0"
nationella program,82888663,"88,1"
nationella program,11275959,"95,3"
nationella program,58518163,"97,5"
nationella program,50615280,"100,0"
nationella program,19035583,"100,0"
nationella program,27993549,"76,4"
nationella program,37912396,"100,0"
nationella program,45593337,"100,0"
nationella program,90312942,"100,0"
nationella program,10226870,"100,0"
nationella program,19839859,"100,0"
nationella program,80280597,..
nationella program,67628478,"100,0"
nationella program,37517404,"100,0"
nationella program,29159460,"94,0"
nationella program,32057701,"100,0"
nationella program,43601850,"100,0"
nationella program,30615080,"95,7"
nationella program,89630851,"97,7"
nationella program,25178582,"98,6"
nationella program,70543431,"100,0"
nationella program,23476801,..
nationella program,86351879,"100,0"
nationella program,56041144,"98,1"
nationella program,14586562,..
nationella program,74322969,"98,2"
nationella program,90260899,"100,0"
nationella program,69302313,"100,0"
nationella program,31057219,"98,2"
nationella program,27079521,"100,0"
nationella program,33572033,"100,0"
nationella program,64579522,"96,8"
nationella program,65234368,"100,0"
nationella program,34381901,"97,0"
nationella program,55150847,"100,0"
nationella program,90076461,"100,0"
nationella program,96414537,"100,0"
nationella program,53069733,"100,0"
nationella program,99394620,"100,0"
nationella program,95368476,"98,9"
nationella program,14853321,"100,0"
nationella program,76448076,"92,7"
nationella program,31537066,"96,7"
nationella program,86488203,"96,4"
nationella program,25156286,"97,1"
nationella program,28081446,"100,0"
nationella program,21400668,"100,0"
nationella program,92949043,"97,4"
nationella program,92818240,"99,2"
nationella program,84329061,"98,5"
nationella program,71969230,"85,7"
nationella program,91048178,"98,8"
nationella program,82718660,"100,0"
nationella program,76942525,"88,5"
nationella program,12399380,"100,0"
nationella program,31486865,"99,7"
nationella program,97265732,"100,0"
nationella program,10373112,..
nationella program,61720981,"97,9"
nationella program,25698509,"94,7"
nationella program,50424828,"89,2"
nationella program,82931004,"96,4"
nationella program,83584125,"100,0"
nationella program,95024660,"100,0"
nationella program,32263814,"100,0"
nationella program,16496466,"100,0"
nationella program,12075195,"100,0"
nationella program,62300682,"100,0"
nationella program,47393891,"98,7"
nationella program,48414975,"100,0"
nationella program,65265211,"100,0"
nationella program,11533776,"98,7"
nationella program,47108751,..
nationella program,97191332,"82,8"
nationella program,71938440,"100,0"
nationella program,28829503,"100,0"
nationella program,22811839,"100,0"
nationella program,33205596,"100,0"
nationella program,99622695,..
nationella program,19930101,"100,0"
nationella program,60727136,"100,0"
nationella program,45132264,"95,8"
nationella program,61647360,..
nationella program,98651664,"100,0"
nationella program,33657492,"97,4"
nationella program,61622991,"100,0"
nationella program,66644568,"94,4"
nationella program,93659517,"100,0"
nationella program,79309485,"100,0"
nationella program,61175914,"94,1"
nationella program,73316818,"100,0"
nationella program,37078868,..
nationella program,27859889,"100,0"
nationella program,16130958,"100,0"
nationella program,29161632,..
nationella program,82195565,"100,0"
nationella program,33596572,"100,0"
nationella program,45541222,"100,0"
