program,skolkod,gbp_examen
Nationella program,24759907,"14,9"
Nationella program,78433202,"14,7"
Nationella program,41631104,"14,8"
Nationella program,35366805,"15,2"
Nationella program,31315191,"15,5"
Nationella program,80357110,"16,2"
Nationella program,42775003,"16,8"
Nationella program,56670842,"17,3"
Nationella program,89370947,"17,2"
Nationella program,18451445,..
Nationella program,48555205,"14,8"
Nationella program,31313926,"14,6"
Nationella program,30312720,"15,2"
Nationella program,32116280,"14,0"
Nationella program,57143976,"15,2"
Nationella program,93367005,"13,3"
Nationella program,53175499,"17,1"
Nationella program,64388538,"16,8"
Nationella program,52153758,"18,0"
Nationella program,16501673,"13,1"
Nationella program,26298615,"13,4"
Nationella program,22116645,"16,5"
Nationella program,99755443,"16,8"
Nationella program,30167976,"16,2"
Nationella program,50104466,"15,0"
Nationella program,28004794,..
Nationella program,32071849,"16,0"
Nationella program,79845033,"13,9"
Nationella program,41099519,"13,8"
Nationella program,59386837,"14,0"
Nationella program,21627442,"15,3"
Nationella program,17276047,"13,6"
Nationella program,73217812,"13,4"
Nationella program,21382451,"15,2"
Nationella program,48244956,"14,4"
Nationella program,36769815,"13,5"
Nationella program,16931486,"13,4"
Nationella program,92489953,"13,8"
Nationella program,43873969,"15,7"
Nationella program,55825382,"14,2"
Nationella program,19306558,"15,4"
Nationella program,35301145,"14,6"
Nationella program,24993048,"14,7"
Nationella program,70132092,"11,4"
Nationella program,65034473,..
Nationella program,13084253,"14,3"
Nationella program,32321364,..
Nationella program,59942080,"14,4"
Nationella program,66273269,"14,9"
Nationella program,82888663,"14,7"
Nationella program,11275959,"14,0"
Nationella program,58518163,"14,3"
Nationella program,50615280,"15,3"
Nationella program,19035583,"13,9"
Nationella program,27993549,"13,7"
Nationella program,37912396,"15,2"
Nationella program,45593337,"14,5"
Nationella program,90312942,"13,2"
Nationella program,10226870,"16,7"
Nationella program,19839859,"14,0"
Nationella program,80280597,..
Nationella program,67628478,"17,4"
Nationella program,37517404,"15,4"
Nationella program,29159460,"13,1"
Nationella program,32057701,"16,0"
Nationella program,43601850,"12,3"
Nationella program,30615080,"14,4"
Nationella program,89630851,"15,1"
Nationella program,25178582,"14,8"
Nationella program,70543431,"16,6"
Nationella program,23476801,..
Nationella program,86351879,"14,2"
Nationella program,56041144,"14,1"
Nationella program,14586562,..
Nationella program,74322969,"13,3"
Nationella program,90260899,"14,3"
Nationella program,69302313,"14,5"
Nationella program,31057219,"14,5"
Nationella program,27079521,"14,2"
Nationella program,33572033,"14,8"
Nationella program,64579522,"14,6"
Nationella program,65234368,"14,7"
Nationella program,34381901,"14,8"
Nationella program,55150847,"15,4"
Nationella program,90076461,"14,9"
Nationella program,96414537,"13,7"
Nationella program,53069733,"15,7"
Nationella program,99394620,"15,1"
Nationella program,95368476,"15,1"
Nationella program,14853321,"14,1"
