skolkod,andel_med_examen
78875918,"90,2"
86385479,"93,5"
49862313,"76,2"
99838438,"75,0"
42859669,"78,9"
99592025,"98,6"
34247736,"95,2"
47550455,"95,4"
30329172,"100,0"
76877530,"68,8"
47046103,"94,4"
38167912,"94,7"
43826783,..
58125096,"80,6"
82914148,..
20620556,"89,5"
77839100,..
17173461,"83,3"
55535552,.
30468157,"91,0"
92533079,"95,9"
61528940,"94,8"
23681822,"94,4"
66861851,"92,9"
72206824,"94,3"
92858957,"89,9"
86296935,..
44113417,"94,3"
67783774,..
39555838,"85,0"
85214294,"77,8"
82084961,"71,4"
46162400,"94,1"
67279263,"91,9"
51210136,"97,5"
73829818,"98,2"
54395430,.
18881773,..
50908408,"90,9"
18594470,"89,5"
78295411,"78,2"
80686587,"93,1"
72232853,"93,8"
12279302,"76,9"
64205087,"89,1"
50500028,"89,3"
91984508,"97,1"
40667807,"91,9"
18091973,"100,0"
88466776,"97,8"
36539945,..
40634612,"87,8"
66132676,"90,2"
57942242,"89,7"
77688926,"97,7"
14508922,"96,6"
37358234,"92,3"
21008461,"98,3"
54606928,"97,7"
53893730,"88,1"
42573391,..
64574972,"93,2"
19741742,"95,5"
29032715,"87,9"
45830583,"100,0"
48931433,"84,5"
19909435,"96,6"
30530571,"94,6"
78839208,"98,5"
96024712,"95,6"
30458073,..
85800840,"92,7"
68920727,"85,7"
27115998,"92,8"
41867682,"81,3"
79516949,"90,3"
96684210,"95,4"
87207941,"88,9"
11673760,"94,0"
46574937,"93,8"
23836342,"87,9"
63791419,"93,1"
39805497,"86,7"
38400227,"83,7"
81619482,"98,4"
12395564,"100,0"
90006712,"100,0"
39149668,"95,8"
38233622,"87,5"
48722826,"89,7"
73063662,"71,4"
40766349,"89,7"
53691739,"100,0"
43251309,"100,0"
67554405,"98,8"
73944169,"96,0"
98239050,"90,5"
94455820,..
61547652,..
62104139,"86,5"
87034307,"90,8"
78872213,"97,3"
76860623,"100,0"
58191646,"89,4"
80405898,"95,2"
56021320,"94,7"
63179610,"73,9"
64569393,"84,6"
64160122,"100,0"
48217580,"93,0"
51620045,"92,9"
86888278,"78,9"
57397381,"81,5"
56947954,"91,1"
72022487,"91,7"
71512894,"91,9"
28248021,"82,6"
44417214,"94,6"
